HEADER	2	3	100	4	10
MACHINE	0	117	70	5	6	12	13	19	20	26	27	33	34	40	41	47	48	54	55	61	62	68	69	75	76	82	83	89	90	96	97	103	104	110	111	117	118	124	125	131	132	138	139	145	146	152	153	159	160	166	167	173	174	180	181	187	188	194	195	201	202	208	209	215	216	222	223	229	230	236	237	243	244
MACHINE	1	240	35	6	13	20	27	34	41	48	55	62	69	76	83	90	97	104	111	118	125	132	139	146	153	160	167	174	181	188	195	202	209	216	223	230	237	244
BOM	0	0	32085	68747
BOM	1	0	22449	18787
BOM	2	0	33343	46648
BOM	2	1	28408	24347
COMBI	0	0	0	0	0
COMBI	0	0	1	6954	342807
COMBI	0	0	2	27709	590242
COMBI	0	1	0	4656	150594
COMBI	0	1	1	0	0
COMBI	0	1	2	29271	680407
COMBI	0	2	0	19399	18062
COMBI	0	2	1	7516	312992
COMBI	0	2	2	0	0
COMBI	1	2	2	0	0
ORDER	0	1	839029	1184685	68	34	196999	5200
ORDER	1	0	41353	328019	74	7	596708	1573
ORDER	2	0	7109	271490	62	26	816906	8752
ORDER	3	1	581953	894838	51	19	1000000	8978
ORDER	4	2	815426	1113643	2	2	319725	1410
ORDER	5	1	410628	695333	14	3	888639	10555
ORDER	6	2	618415	899875	30	11	248088	25774
ORDER	7	2	494957	776514	84	42	419926	5858
ORDER	8	1	185374	481995	61	30	291858	6377
ORDER	9	0	104649	436790	94	18	854116	4418
ORDER	10	1	600619	879331	48	21	707486	2701
ORDER	11	2	711752	1070539	51	13	588560	9903
ORDER	12	1	161627	484373	39	12	100000	12953
ORDER	13	1	765684	1131751	100	28	527556	21171
ORDER	14	0	127779	445429	40	20	553007	3283
ORDER	15	2	244693	509800	3	1	703323	14168
ORDER	16	1	245985	590970	12	6	348524	3248
ORDER	17	1	510802	991529	3	2	389098	5637
ORDER	18	0	784655	1114469	1	1	137251	16050
ORDER	19	0	212792	491363	60	23	586890	1122
ORDER	20	2	215873	477653	58	4	365452	5455
ORDER	21	0	338426	631735	59	19	576049	12438
ORDER	22	0	753788	1120738	10	5	749970	1226
ORDER	23	1	360340	656348	17	7	100000	14608
ORDER	24	2	205926	491599	87	23	783552	14312
ORDER	25	1	238799	645984	29	5	588349	2902
ORDER	26	1	850319	1113133	99	8	100000	5925
ORDER	27	1	44804	323254	58	1	355728	20265
ORDER	28	0	841225	1128606	16	6	361588	7114
ORDER	29	2	385576	974270	94	5	557664	32244
ORDER	30	1	496592	763537	86	24	520408	3687
ORDER	31	2	129589	417298	72	35	786346	5036
ORDER	32	1	298819	658390	62	20	498548	8544
ORDER	33	1	315527	618894	2	2	216208	1215
ORDER	34	1	592992	982808	59	5	541519	36750
ORDER	35	2	777438	1121137	72	29	770043	2099
ORDER	36	1	103428	543070	90	40	485522	3911
ORDER	37	1	144865	410120	100	5	470441	12915
ORDER	38	2	807036	1091250	53	15	567238	4699
ORDER	39	0	49275	407791	36	8	1000000	6563
ORDER	40	0	187405	457929	79	10	375059	11478
ORDER	41	1	600804	909435	15	5	999827	8951
ORDER	42	2	777467	1058332	67	28	314223	2352
ORDER	43	1	404608	681077	11	3	273983	4264
ORDER	44	2	393064	672333	4	3	582545	4867
ORDER	45	0	560372	859947	90	1	403843	5405
ORDER	46	0	812967	1089089	18	10	389948	6319
ORDER	47	1	458338	788405	60	15	129013	5966
ORDER	48	1	723664	1004227	5	2	278978	10709
ORDER	49	0	517838	831082	92	8	382667	5266
ORDER	50	2	318629	658670	80	34	964043	864
ORDER	51	2	394191	662155	37	11	722784	11568
ORDER	52	1	63275	478380	63	3	407447	14919
ORDER	53	2	204192	465011	37	17	599520	8571
ORDER	54	2	749806	1113375	41	6	338095	13143
ORDER	55	0	796438	1111859	38	8	196796	14410
ORDER	56	2	267858	530247	85	25	536065	13048
ORDER	57	2	696826	987050	11	2	507492	6030
ORDER	58	1	112688	643962	12	2	740971	25715
ORDER	59	0	543654	843447	17	1	294760	13398
ORDER	60	1	539496	1008471	18	4	109942	1810
ORDER	61	2	416548	755599	93	25	431302	2924
ORDER	62	0	316553	592374	45	12	705446	8105
ORDER	63	1	803988	1156213	28	2	699633	8477
ORDER	64	2	497348	914545	61	14	923344	6415
ORDER	65	2	522742	804229	9	2	491328	8283
ORDER	66	2	466301	731244	100	2	550230	7343
ORDER	67	0	317018	581177	41	19	480022	7888
ORDER	68	1	682902	1068403	93	12	100000	1761
ORDER	69	0	134866	466366	13	5	843389	4162
ORDER	70	2	786117	1103207	37	12	1000000	9102
ORDER	71	0	566484	868804	27	2	737810	10754
ORDER	72	1	499360	785074	28	7	471130	1417
ORDER	73	2	482274	786069	98	37	581286	6851
ORDER	74	1	129818	427665	10	6	517425	15248
ORDER	75	1	772886	1054732	96	38	739088	1843
ORDER	76	2	565064	954252	80	12	710441	22300
ORDER	77	1	546502	836784	29	5	443670	1268
ORDER	78	2	127596	440476	24	9	100000	5720
ORDER	79	2	31255	310774	70	33	100000	23859
ORDER	80	0	666125	943049	55	22	487621	14275
ORDER	81	0	795540	1146782	84	21	652398	16824
ORDER	82	2	328711	687638	78	9	620593	37392
ORDER	83	2	689686	1039664	48	25	653170	7506
ORDER	84	1	606231	932369	64	23	100000	13182
ORDER	85	2	799468	1332956	3	1	625567	4232
ORDER	86	0	299063	560647	63	6	624425	4801
ORDER	87	0	12523	283728	34	11	282703	11378
ORDER	88	1	654129	959335	15	6	341332	11865
ORDER	89	2	804793	1176912	50	26	269801	3613
ORDER	90	1	228056	519538	35	1	615231	9542
ORDER	91	2	783338	1102798	2	2	628677	5039
ORDER	92	0	753999	1068007	42	8	565265	11909
ORDER	93	0	849397	1170492	76	28	918865	39812
ORDER	94	2	221307	496219	5	2	290236	14903
ORDER	95	0	522078	793552	27	14	156666	6437
ORDER	96	1	524355	829725	49	2	480509	8987
ORDER	97	0	51599	340431	83	15	1000000	5249
ORDER	98	0	793067	1101173	46	12	575016	992
ORDER	99	1	216011	531699	91	14	641187	26522
